,grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
0,10718,107038.95551451844,2283884.051531945,28389522945.708084,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-5번지,126.883850752,37.517448099,945550.9234865848,1946640.363489287,"문래동 빅토리 테크노 타워, 명지 페르마타",2583.9,1187.28,14895.98,25,1.5,227311.0,66716.0,57.125,4102500.0,17.0,4.0
1,10719,106055.46070046314,2262125.74321801,30420903381.05916,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-2번지,126.883934822,37.517783729,945558.5966650792,1946677.551186887,정민빌딩,1015.9,604.0,1304.02,4,1.0,0.0,0.0,13.5,4165000.0,6.0,4.0
2,10739,107890.61680946458,2378832.782476092,25303740614.54041,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 20-20번지,126.885533866,37.515291154,945698.0987175386,1946400.0892461843,NoData,2455.1,1411.24,7838.89,65,0.6666666666666666,190845.0,31679.0,20.0,3995888.888888889,10.777777777777779,4.0
3,10745,104224.83288895428,2272962.3140890915,39122350638.93007,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 34-1번지,126.885622558,37.520633962,945709.8077879852,1946992.793989919,문래크라운팰리스,1336.2,192.24,2123.84,15,1.0,108619.0,31205.0,43.7,4960000.0,3.0,4.0
4,10764,109029.43212746576,2458874.243228049,24168789164.00496,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 문래동5가 5-4번지,126.88676621,37.51468377,945806.5658869086,1946331.992710332,NoData,731.0,432.9,486.72,2,0.0,0.0,0.0,12.0,4471000.0,19.0,3.0
5,10765,108361.10493995424,2441706.1884582043,25608952221.680305,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 9번지,126.886057714,37.515048068,945744.216942706,1946372.8179437064,"벽산디지털밸리, 유니온빌딩별관",4224.1,1940.03,27398.09,22,1.0,5959.0,211356.0,45.175,4301000.0,15.0,3.0
6,10766,107880.68484684436,2448547.67796298,27255691681.101715,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",영등포구,서울특별시 영등포구 문래동5가 10번지,126.886900373,37.516108641,945819.4525821004,1946489.9971661423,하우스디 비즈,0.0,2980.67,38516.17,17,3.0,8144.0,282393.0,53.17,4291000.0,5.0,3.0
7,10768,106857.89121363142,2461925.7780710384,31737271554.29836,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 19번지,126.886983241,37.517942848,945828.1018041872,1946693.4448426685,문래 SK V1 center,7541.5,3587.21,60447.7,22,6.0,12563.0,456935.0,73.0,4480000.0,2.0,9.0
8,10769,103475.62142400123,2375977.5320718545,34056037457.924324,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 24-1번지,126.886286204,37.519045586,945767.3025974692,1946816.189329742,에이스하이테크시티2,8042.0,3424.5,63208.48,19,6.0,49238.0,498610.0,59.4,4256000.0,7.0,9.0
9,10771,104242.9979003933,2336184.922288511,40601316460.86536,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 29-1번지,126.886413259,37.521231739,945780.1123009388,1947058.6581363152,문래동 대우 이안,5254.69,1542.8,21773.43,38,2.0,455161.0,58270.0,36.11000000000001,5157333.333333333,9.0,9.0
