,grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
0,10718,108576.05260822747,3212627.222495547,23159080526.314514,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-5번지,126.883850752,37.517448099,945550.9234865848,1946640.363489287,"문래동 빅토리 테크노 타워, 명지 페르마타",2583.9,1187.28,14895.98,25,1.5,177106.0,59111.0,57.125,3600000.0,16.0,4.0
1,10719,107448.46997257396,3175717.415426696,25538756742.960464,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-2번지,126.883934822,37.517783729,945558.5966650792,1946677.551186887,정민빌딩,1015.9,604.0,1304.02,4,1.0,0.0,0.0,13.5,3655000.0,5.0,4.0
2,10739,109356.58722505218,3369860.0164131494,19255130823.788128,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 20-20번지,126.885533866,37.515291154,945698.0987175386,1946400.0892461843,NoData,2455.1,1411.24,7838.89,65,0.6666666666666666,146317.0,24668.0,20.0,3493666.6666666665,9.777777777777779,4.0
3,10745,105235.25835453071,3154234.461091176,34952746729.686615,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 34-1번지,126.885622558,37.520633962,945709.8077879852,1946992.793989919,문래크라운팰리스,1336.2,192.24,2123.84,15,1.0,88351.0,22402.0,43.7,4352000.0,2.0,4.0
4,10764,110466.25470933346,3502400.316014844,17661057717.08057,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 문래동5가 5-4번지,126.88676621,37.51468377,945806.5658869086,1946331.992710332,NoData,731.0,432.9,486.72,2,0.0,0.0,0.0,12.0,3891000.0,18.0,3.0
5,10765,109704.8250412672,3461937.3918117764,19795370450.61363,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 9번지,126.886057714,37.515048068,945744.216942706,1946372.8179437064,"벽산디지털밸리, 유니온빌딩별관",4224.1,1940.03,27398.09,22,1.0,7498.0,221292.0,45.175,3743000.0,14.0,3.0
6,10766,109142.88457760552,3453990.6007112795,22001896034.616684,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",영등포구,서울특별시 영등포구 문래동5가 10번지,126.886900373,37.516108641,945819.4525821004,1946489.9971661423,하우스디 비즈,0.0,2980.67,38516.17,17,3.0,9565.0,247395.0,53.17,3735000.0,4.0,3.0
7,10768,107996.97768322972,3445697.4260298987,27373110360.5324,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 19번지,126.886983241,37.517942848,945828.1018041872,1946693.4448426685,문래 SK V1 center,7541.5,3587.21,60447.7,22,6.0,0.0,0.0,73.0,3965000.0,1.0,9.0
8,10769,104378.83104728666,3305890.4797290545,29895171187.19752,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 24-1번지,126.886286204,37.519045586,945767.3025974692,1946816.189329742,에이스하이테크시티2,8042.0,3424.5,63208.48,19,6.0,39982.0,407561.0,59.4,3766000.0,6.0,9.0
9,10771,105097.45825111184,3236494.343554495,36579154494.93356,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 29-1번지,126.886413259,37.521231739,945780.1123009388,1947058.6581363152,문래동 대우 이안,5254.69,1542.8,21773.43,38,2.0,383395.0,57269.0,36.11000000000001,4615000.0,8.0,9.0
10,10793,109204.83927017722,3596266.1756809955,18981387844.100845,"POLYGON ((945835.230213883 1946265.54807064, 945835.230213883 1946365.54807064, 945935.230213883 1946365.54807064, 945935.230213883 1946265.54807064, 945835.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 문래동5가 5-8번지,126.887227518,37.514475691,945847.1832028488,1946308.6418522,NoData,1677.0,1004.33,2796.09,5,0.0,29072.0,31439.0,15.649999999999999,4230000.0,9.5,9.0
11,10794,110236.27176346855,3582414.8419058453,21201000971.498283,"POLYGON ((945835.230213883 1946365.54807064, 945835.230213883 1946465.54807064, 945935.230213883 1946465.54807064, 945935.230213883 1946365.54807064, 945835.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 6번지,126.88717892,37.515208825,945843.4181860236,1946390.007067444,"유니온빌딩, KT&G",9780.5,5072.05,18522.04,12,1.0,0.0,101406.0,23.275,5206500.0,12.5,9.0
12,10796,109426.23035144544,3549878.348400102,25885910389.47982,"POLYGON ((945835.230213883 1946565.54807064, 945835.230213883 1946665.54807064, 945935.230213883 1946665.54807064, 945935.230213883 1946565.54807064, 945835.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동6가 1-2번지,126.888039569,37.517459858,945921.1011944952,1946639.2519530489,NoData,1990.6,203.09,720.86,5,1.0,0.0,19017.0,19.0,5317000.0,1.0,9.0
13,10797,110438.08227743876,3527742.4828729783,28403644993.183075,"POLYGON ((945835.230213883 1946665.54807064, 945835.230213883 1946765.54807064, 945935.230213883 1946765.54807064, 945935.230213883 1946665.54807064, 945835.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 16-2번지,126.887412432,37.518592091,945866.4985479098,1946765.2278176143,"문래파라곤, 문래동 현대홈시티1",4457.5,1889.09,27586.03,31,3.0,609412.0,144972.0,46.815,5351000.0,15.5,9.0
14,10798,103810.62316113184,3495602.47766538,31033564707.10245,"POLYGON ((945835.230213883 1946765.54807064, 945835.230213883 1946865.54807064, 945935.230213883 1946865.54807064, 945935.230213883 1946765.54807064, 945835.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 16번지,126.887468675,37.518988023,945871.7547225844,1946809.12199191,문래파라곤,4457.5,1568.2,19728.31,16,5.0,286359.0,74623.0,49.38,5087000.0,15.0,9.0
